activity,alley_condition,bbl_hotel,bbl_multifamily_rental,bbl_restaurant,bbl_single_family_rental,bbl_storage,bbl_two_family_rental,communitygarden_area,communitygarden_id,dcrapermit_addition,dcrapermit_demolition,dcrapermit_excavation,dcrapermit_new_building,dcrapermit_raze,impervious_area,month,num_mixed_use,num_non_residential,num_residential,park,pct_mixed_use,pct_non_residential,pct_residential,pop_density,sidewalk_grates,ssl_cndtn_Average_comm,ssl_cndtn_Average_res,ssl_cndtn_Excellent_comm,ssl_cndtn_Excellent_res,ssl_cndtn_Fair_comm,ssl_cndtn_Fair_res,ssl_cndtn_Good_comm,ssl_cndtn_Good_res,ssl_cndtn_Poor_comm,ssl_cndtn_Poor_res,ssl_cndtn_VeryGood_comm,ssl_cndtn_VeryGood_res,tot_pop,well_activity,WARD
0.0,19.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20247.7220539,1,0.0,0.0,83.0,0.0,0.0,0.0,1.0,19240.495445700002,0.0,0.0,0.867469879518,0.0,0.0,0.0,0.0240963855422,0.0,0.10843373494000001,0.0,0.0,0.0,0.0,223,0.0,5
1.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11058.1359104,1,0.0,0.0,31.0,0.0,0.0,0.0,1.0,26207.371258900002,0.0,0.0,0.933333333333,0.0,0.0,0.0,0.0,0.0,0.0333333333333,0.0,0.0,0.0,0.0333333333333,148,0.0,4
0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16316.178738699999,1,0.0,0.0,70.0,0.0,0.0,0.0,1.0,18195.0285725,0.0,0.0,0.914285714286,0.0,0.0,0.0,0.0,0.0,0.0571428571429,0.0,0.0,0.0,0.0285714285714,174,0.0,4
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9603.8584173,1,0.0,0.0,40.0,0.0,0.0,0.0,1.0,28776.808856599997,0.0,0.0,0.8,0.0,0.0,0.0,0.025,0.0,0.125,0.0,0.0,0.0,0.05,134,0.0,4
0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11979.6079291,1,0.0,0.0,52.0,0.0,0.0,0.0,1.0,18860.811272,0.0,0.0,0.807692307692,0.0,0.0,0.0,0.0,0.0,0.153846153846,0.0,0.0,0.0,0.0384615384615,128,0.0,4
0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9074.40888774,1,0.0,1.0,22.0,0.0,0.0,0.0434782608696,0.9565217391299998,14388.406115099999,0.0,1.0,0.761904761905,0.0,0.0,0.0,0.0,0.0,0.0952380952381,0.0,0.047619047619,0.0,0.0952380952381,52,0.0,4
0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14971.748776100001,1,0.0,1.0,52.0,0.0,0.0,0.0188679245283,0.981132075472,22755.0570205,0.0,1.0,0.8571428571430001,0.0,0.0,0.0,0.0,0.0,0.061224489795900006,0.0,0.0,0.0,0.0816326530612,183,0.0,4
1.0,23.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17320.6749211,1,0.0,0.0,71.0,0.0,0.0,0.0,1.0,23144.827456900002,0.0,0.0,0.7794117647059999,0.0,0.0,0.0,0.0147058823529,0.0,0.16176470588199998,0.0,0.0,0.0,0.0441176470588,223,0.0,4
1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10497.7790698,1,0.0,0.0,26.0,0.0,0.0,0.0,1.0,14130.9220188,0.0,0.0,0.538461538462,0.0,0.0,0.0,0.0384615384615,0.0,0.346153846154,0.0,0.0,0.0,0.0769230769231,85,0.0,4
1.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16296.6845399,1,0.0,0.0,60.0,0.0,0.0,0.0,1.0,16267.9055885,0.0,0.0,0.8,0.0,0.0,0.0,0.05,0.0,0.06666666666669999,0.0,0.0,0.0,0.08333333333330001,136,0.0,4
